id,distance,angle,x,y
,0,41.5526131481349,35.6408467881,35.2836808743
,0.2,41.5526131481349,35.7735082910,35.4333502622
,0.4,41.5526131481349,35.9061697938,35.5830196500
,0.6,41.5526131481349,36.0388312967,35.7326890379
,0.8,21.3706222693439,36.1311408131,35.9070489873
,1,21.3706222693439,36.2040206828,36.0932975433
,1.2,21.3706222693439,36.2769005525,36.2795460992
,1.4,21.3706222693439,36.3497804222,36.4657946552
,1.6,21.3706222693439,36.4226602919,36.6520432111
,1.8,358.215156675681,36.4517377197,36.8458521645
,2,358.215156675681,36.4455084487,37.0457551314
,2.2,358.215156675681,36.4392791778,37.2456580983
,2.4,358.215156675681,36.4330499069,37.4455610653
,2.6,358.215156675681,36.4268206360,37.6454640322
,2.8,358.215156675681,36.4205913650,37.8453669991
,3,358.215156675681,36.4143620941,38.0452699660
,5.1,91.6468643284629,38.4921074726,38.0062533052
,5.3,73.7898992163352,38.6849303599,38.0560280285
,5.5,73.7898992163352,38.8769792573,38.1118601073
,5.7,73.7898992163352,39.0690281547,38.1676921860
,5.9,73.7898992163352,39.2610770521,38.2235242648
,6.09999999999999,73.7898992163352,39.4531259494,38.2793563435
,6.29999999999999,73.7898992163352,39.6451748468,38.3351884223
,6.49999999999999,73.7898992163352,39.8372237442,38.3910205010
,6.69999999999999,73.7898992163352,40.0292726416,38.4468525798
,6.89999999999999,73.7898992163352,40.2213215389,38.5026846585
,7.09999999999999,73.7898992163352,40.4133704363,38.5585167372
,7.29999999999999,73.7898992163352,40.6054193337,38.6143488160
